"LOCAL","VISITANTE","RESULTADO"
"Mérida","Hércules","2-1"
"Algeciras","Yeclano","1-0"
"Antequera","AD Ceuta","2-2"
"Marbella","Betis B","2-2"
"Yeclano","Mérida","1-1"
"Atlético Sanluqueño","Alcorcón","1-2"
"Atlético Madrid B","Sevilla Atlético","0-1"
"RM Castilla","Recreativo","2-1"
"Fuenlabrada","Real Murcia","0-0"
"Intercity","Villarreal B","2-2"
"UD Ibiza","Algeciras","0-1"
"Hércules","Alcoyano","1-0"
"Betis B","Sevilla Atlético","1-0"
"Algeciras","Antequera","1-1"
"Villarreal B","Yeclano","0-1"
"Recreativo","Marbella","1-3"
"Mérida","Fuenlabrada","2-1"
"Alcoyano","Atlético Madrid B","0-0"
"AD Ceuta","RM Castilla","2-1"
"Atlético Sanluqueño","Hércules","1-1"
"Alcorcón","UD Ibiza","1-2"
"Real Murcia","Intercity","1-1"
"Sevilla Atlético","Mérida","1-0"
"Intercity","Atlético Sanluqueño","1-2"
"Atlético Madrid B","Algeciras","1-1"
"RM Castilla","Alcoyano","2-0"
"Yeclano","AD Ceuta","0-0"
"UD Ibiza","Recreativo","0-0"
"Antequera","Real Murcia","2-1"
"Marbella","Alcorcón","3-3"
"Fuenlabrada","Villarreal B","0-0"
"Hércules","Betis B","5-1"
"Alcorcón","Fuenlabrada","2-1"
"Betis B","RM Castilla","1-3"
"AD Ceuta","Sevilla Atlético","1-0"
"Atlético Sanluqueño","Yeclano","1-0"
"Real Murcia","Hércules","1-0"
"Alcoyano","UD Ibiza","1-0"
"Mérida","Marbella","4-2"
"Villarreal B","Antequera","1-1"
"Recreativo","Atlético Madrid B","2-1"
"Algeciras","Intercity","1-0"
"Antequera","Alcoyano","1-0"
"Recreativo","AD Ceuta","1-1"
"Marbella","Hércules","1-2"
"Fuenlabrada","Atlético Sanluqueño","2-2"
"Yeclano","Real Murcia","0-1"
"UD Ibiza","Mérida","3-0"
"Atlético Madrid B","Alcorcón","2-1"
"Intercity","Betis B","1-1"
"RM Castilla","Villarreal B","2-2"
"Sevilla Atlético","Algeciras","1-0"
"Intercity","Marbella","0-0"
"Algeciras","RM Castilla","1-4"
"Betis B","Mérida","0-4"
"Alcorcón","Recreativo","1-0"
"Antequera","Fuenlabrada","3-4"
"Real Murcia","Alcoyano","0-1"
"AD Ceuta","Atlético Madrid B","2-1"
"Villarreal B","UD Ibiza","1-2"
"Hércules","Yeclano","2-2"
"Atlético Sanluqueño","Sevilla Atlético","0-1"
"Atlético Madrid B","Hércules","1-0"
"Mérida","Alcorcón","2-1"
"Sevilla Atlético","Intercity","1-0"
"Fuenlabrada","Yeclano","2-1"
"Marbella","Real Murcia","1-4"
"Recreativo","Villarreal B","3-3"
"UD Ibiza","Antequera","5-3"
"AD Ceuta","Algeciras","2-0"
"RM Castilla","Atlético Sanluqueño","2-0"
"Alcoyano","Betis B","0-0"
"Alcorcón","AD Ceuta","0-0"
"Yeclano","Marbella","1-1"
"Intercity","Mérida","3-1"
"Betis B","UD Ibiza","1-3"
"Algeciras","Recreativo","0-0"
"Antequera","RM Castilla","0-0"
"Atlético Sanluqueño","Atlético Madrid B","1-0"
"Hércules","Fuenlabrada","1-0"
"Real Murcia","Sevilla Atlético","0-2"
"Villarreal B","Alcoyano","3-0"
"Atlético Madrid B","Villarreal B","1-0"
"Recreativo","Antequera","0-0"
"AD Ceuta","Betis B","5-1"
"Alcoyano","Yeclano","0-0"
"RM Castilla","Alcorcón","2-1"
"Fuenlabrada","Intercity","1-2"
"UD Ibiza","Atlético Sanluqueño","4-2"
"Sevilla Atlético","Hércules","1-0"
"Mérida","Real Murcia","1-4"
"Marbella","Algeciras","3-1"
"Alcorcón","Alcoyano","0-0"
"Antequera","Atlético Madrid B","2-2"
"Algeciras","Mérida","1-1"
"Atlético Sanluqueño","Marbella","1-1"
"Betis B","Fuenlabrada","1-1"
"Hércules","Recreativo","1-2"
"Intercity","RM Castilla","2-2"
"Real Murcia","UD Ibiza","0-2"
